date,key,value
2022-09-29,FIND Test directory (NTDs),8
2022-09-30,FIND Test directory (NTDs),35
2022-10-01,FIND Test directory (NTDs),1
2022-10-02,FIND Test directory (NTDs),0
2022-10-03,FIND Test directory (NTDs),19
2022-10-04,FIND Test directory (NTDs),1
2022-10-05,FIND Test directory (NTDs),13
2022-10-06,FIND Test directory (NTDs),3
2022-10-07,FIND Test directory (NTDs),2
2022-10-08,FIND Test directory (NTDs),1
2022-10-09,FIND Test directory (NTDs),0
2022-10-10,FIND Test directory (NTDs),6
2022-10-11,FIND Test directory (NTDs),83
2022-10-12,FIND Test directory (NTDs),33
2022-10-13,FIND Test directory (NTDs),21
2022-10-14,FIND Test directory (NTDs),29
2022-10-15,FIND Test directory (NTDs),0
2022-10-16,FIND Test directory (NTDs),9
2022-10-17,FIND Test directory (NTDs),65
2022-10-18,FIND Test directory (NTDs),85
2022-10-19,FIND Test directory (NTDs),99
2022-10-20,FIND Test directory (NTDs),53
2022-10-21,FIND Test directory (NTDs),19
2022-10-22,FIND Test directory (NTDs),0
2022-10-23,FIND Test directory (NTDs),2
2022-10-24,FIND Test directory (NTDs),28
2022-10-25,FIND Test directory (NTDs),13
2022-10-26,FIND Test directory (NTDs),15
2022-10-27,FIND Test directory (NTDs),16
2022-10-28,FIND Test directory (NTDs),9
2022-10-29,FIND Test directory (NTDs),0
2022-10-30,FIND Test directory (NTDs),0
2022-10-31,FIND Test directory (NTDs),15
2022-11-01,FIND Test directory (NTDs),36
2022-11-02,FIND Test directory (NTDs),26
2022-11-03,FIND Test directory (NTDs),19
2022-11-04,FIND Test directory (NTDs),20
2022-11-05,FIND Test directory (NTDs),4
2022-11-06,FIND Test directory (NTDs),2
2022-11-07,FIND Test directory (NTDs),7
2022-11-08,FIND Test directory (NTDs),46
2022-11-09,FIND Test directory (NTDs),8
2022-11-10,FIND Test directory (NTDs),28
2022-11-11,FIND Test directory (NTDs),18
2022-11-12,FIND Test directory (NTDs),2
2022-11-13,FIND Test directory (NTDs),3
2022-11-14,FIND Test directory (NTDs),12
2022-11-15,FIND Test directory (NTDs),4
2022-11-16,FIND Test directory (NTDs),8
2022-11-17,FIND Test directory (NTDs),13
2022-11-18,FIND Test directory (NTDs),12
2022-11-19,FIND Test directory (NTDs),2
2022-11-20,FIND Test directory (NTDs),9
2022-11-21,FIND Test directory (NTDs),40
2022-11-22,FIND Test directory (NTDs),12
2022-11-23,FIND Test directory (NTDs),5
2022-11-24,FIND Test directory (NTDs),12
2022-11-25,FIND Test directory (NTDs),9
2022-11-26,FIND Test directory (NTDs),0
2022-11-27,FIND Test directory (NTDs),1
2022-11-28,FIND Test directory (NTDs),3
2022-11-29,FIND Test directory (NTDs),12
2022-11-30,FIND Test directory (NTDs),3
2022-12-01,FIND Test directory (NTDs),7
2022-12-02,FIND Test directory (NTDs),13
2022-12-03,FIND Test directory (NTDs),0
2022-12-04,FIND Test directory (NTDs),2
2022-12-05,FIND Test directory (NTDs),17
2022-12-06,FIND Test directory (NTDs),2
2022-12-07,FIND Test directory (NTDs),8
2022-12-08,FIND Test directory (NTDs),21
2022-12-09,FIND Test directory (NTDs),6
2022-12-10,FIND Test directory (NTDs),2
2022-12-11,FIND Test directory (NTDs),2
2022-12-12,FIND Test directory (NTDs),32
2022-12-13,FIND Test directory (NTDs),6
2022-12-14,FIND Test directory (NTDs),13
2022-12-15,FIND Test directory (NTDs),10
2022-12-16,FIND Test directory (NTDs),8
2022-12-17,FIND Test directory (NTDs),0
2022-12-18,FIND Test directory (NTDs),0
2022-12-19,FIND Test directory (NTDs),9
2022-12-20,FIND Test directory (NTDs),2
2022-12-21,FIND Test directory (NTDs),5
2022-12-22,FIND Test directory (NTDs),8
2022-12-23,FIND Test directory (NTDs),1
2022-12-24,FIND Test directory (NTDs),0
2022-12-25,FIND Test directory (NTDs),0
2022-12-26,FIND Test directory (NTDs),4
2022-12-27,FIND Test directory (NTDs),4
2022-12-28,FIND Test directory (NTDs),1
2022-12-29,FIND Test directory (NTDs),2
2022-12-30,FIND Test directory (NTDs),7
2022-08-31,FIND Test directory (Ebola),0
2022-09-01,FIND Test directory (Ebola),0
2022-09-02,FIND Test directory (Ebola),0
2022-09-03,FIND Test directory (Ebola),0
2022-09-04,FIND Test directory (Ebola),0
2022-09-05,FIND Test directory (Ebola),0
2022-09-06,FIND Test directory (Ebola),0
2022-09-07,FIND Test directory (Ebola),0
2022-09-08,FIND Test directory (Ebola),0
2022-09-09,FIND Test directory (Ebola),0
2022-09-10,FIND Test directory (Ebola),0
2022-09-11,FIND Test directory (Ebola),0
2022-09-12,FIND Test directory (Ebola),0
2022-09-13,FIND Test directory (Ebola),0
2022-09-14,FIND Test directory (Ebola),0
2022-09-15,FIND Test directory (Ebola),0
2022-09-16,FIND Test directory (Ebola),0
2022-09-17,FIND Test directory (Ebola),0
2022-09-18,FIND Test directory (Ebola),0
2022-09-19,FIND Test directory (Ebola),0
2022-09-20,FIND Test directory (Ebola),0
2022-09-21,FIND Test directory (Ebola),0
2022-09-22,FIND Test directory (Ebola),0
2022-09-23,FIND Test directory (Ebola),0
2022-09-24,FIND Test directory (Ebola),0
2022-09-25,FIND Test directory (Ebola),0
2022-09-26,FIND Test directory (Ebola),0
2022-09-27,FIND Test directory (Ebola),0
2022-09-28,FIND Test directory (Ebola),0
2022-09-29,FIND Test directory (Ebola),0
2022-09-30,FIND Test directory (Ebola),0
2022-10-01,FIND Test directory (Ebola),0
2022-10-02,FIND Test directory (Ebola),0
2022-10-03,FIND Test directory (Ebola),0
2022-10-04,FIND Test directory (Ebola),0
2022-10-05,FIND Test directory (Ebola),0
2022-10-06,FIND Test directory (Ebola),0
2022-10-07,FIND Test directory (Ebola),0
2022-10-08,FIND Test directory (Ebola),0
2022-10-09,FIND Test directory (Ebola),0
2022-10-10,FIND Test directory (Ebola),0
2022-10-11,FIND Test directory (Ebola),0
2022-10-12,FIND Test directory (Ebola),0
2022-10-13,FIND Test directory (Ebola),0
2022-10-14,FIND Test directory (Ebola),0
2022-10-15,FIND Test directory (Ebola),0
2022-10-16,FIND Test directory (Ebola),0
2022-10-17,FIND Test directory (Ebola),0
2022-10-18,FIND Test directory (Ebola),0
2022-10-19,FIND Test directory (Ebola),5
2022-10-20,FIND Test directory (Ebola),37
2022-10-21,FIND Test directory (Ebola),8
2022-10-22,FIND Test directory (Ebola),0
2022-10-23,FIND Test directory (Ebola),0
2022-10-24,FIND Test directory (Ebola),22
2022-10-25,FIND Test directory (Ebola),3
2022-10-26,FIND Test directory (Ebola),21
2022-10-27,FIND Test directory (Ebola),67
2022-10-28,FIND Test directory (Ebola),48
2022-10-29,FIND Test directory (Ebola),0
2022-10-30,FIND Test directory (Ebola),0
2022-10-31,FIND Test directory (Ebola),0
2022-11-01,FIND Test directory (Ebola),19
2022-11-02,FIND Test directory (Ebola),69
