date,application,page_views
2020-10-12,FIND EQA directory (COVID-19),0
2020-10-12,FIND Test directory (COVID-19),0
2020-10-12,FIND Test directory (Ebola),0
2020-10-12,FIND Test directory (Monkeypox),0
2020-10-12,FIND Test directory (NTDs),0
2020-10-19,FIND EQA directory (COVID-19),0
2020-10-19,FIND Test directory (COVID-19),0
2020-10-19,FIND Test directory (Ebola),0
2020-10-19,FIND Test directory (Monkeypox),0
2020-10-19,FIND Test directory (NTDs),0
2020-10-26,FIND EQA directory (COVID-19),0
2020-10-26,FIND Test directory (COVID-19),0
2020-10-26,FIND Test directory (Ebola),0
2020-10-26,FIND Test directory (Monkeypox),0
2020-10-26,FIND Test directory (NTDs),0
2020-11-02,FIND EQA directory (COVID-19),0
2020-11-02,FIND Test directory (COVID-19),0
2020-11-02,FIND Test directory (Ebola),0
2020-11-02,FIND Test directory (Monkeypox),0
2020-11-02,FIND Test directory (NTDs),0
2020-11-09,FIND EQA directory (COVID-19),0
2020-11-09,FIND Test directory (COVID-19),0
2020-11-09,FIND Test directory (Ebola),0
2020-11-09,FIND Test directory (Monkeypox),0
2020-11-09,FIND Test directory (NTDs),0
2020-11-16,FIND EQA directory (COVID-19),0
2020-11-16,FIND Test directory (COVID-19),0
2020-11-16,FIND Test directory (Ebola),0
2020-11-16,FIND Test directory (Monkeypox),0
2020-11-16,FIND Test directory (NTDs),0
2020-11-23,FIND EQA directory (COVID-19),0
2020-11-23,FIND Test directory (COVID-19),497
2020-11-23,FIND Test directory (Ebola),0
2020-11-23,FIND Test directory (Monkeypox),0
2020-11-23,FIND Test directory (NTDs),0
2020-11-30,FIND EQA directory (COVID-19),0
2020-11-30,FIND Test directory (COVID-19),92
2020-11-30,FIND Test directory (Ebola),0
2020-11-30,FIND Test directory (Monkeypox),0
2020-11-30,FIND Test directory (NTDs),0
2020-12-07,FIND EQA directory (COVID-19),0
2020-12-07,FIND Test directory (COVID-19),2
2020-12-07,FIND Test directory (Ebola),0
2020-12-07,FIND Test directory (Monkeypox),0
2020-12-07,FIND Test directory (NTDs),0
2020-12-14,FIND EQA directory (COVID-19),0
2020-12-14,FIND Test directory (COVID-19),1
2020-12-14,FIND Test directory (Ebola),0
2020-12-14,FIND Test directory (Monkeypox),0
2020-12-14,FIND Test directory (NTDs),0
2020-12-21,FIND EQA directory (COVID-19),0
2020-12-21,FIND Test directory (COVID-19),21
2020-12-21,FIND Test directory (Ebola),0
2020-12-21,FIND Test directory (Monkeypox),0
2020-12-21,FIND Test directory (NTDs),0
2020-12-28,FIND EQA directory (COVID-19),0
2020-12-28,FIND Test directory (COVID-19),1
2020-12-28,FIND Test directory (Ebola),0
2020-12-28,FIND Test directory (Monkeypox),0
2020-12-28,FIND Test directory (NTDs),0
2021-01-04,FIND EQA directory (COVID-19),0
2021-01-04,FIND Test directory (COVID-19),5
2021-01-04,FIND Test directory (Ebola),0
2021-01-04,FIND Test directory (Monkeypox),0
2021-01-04,FIND Test directory (NTDs),0
2021-01-11,FIND EQA directory (COVID-19),0
2021-01-11,FIND Test directory (COVID-19),2
2021-01-11,FIND Test directory (Ebola),0
2021-01-11,FIND Test directory (Monkeypox),0
2021-01-11,FIND Test directory (NTDs),0
2021-01-18,FIND EQA directory (COVID-19),0
2021-01-18,FIND Test directory (COVID-19),57
2021-01-18,FIND Test directory (Ebola),0
2021-01-18,FIND Test directory (Monkeypox),0
2021-01-18,FIND Test directory (NTDs),0
2021-01-25,FIND EQA directory (COVID-19),0
2021-01-25,FIND Test directory (COVID-19),10
